Lk,Rl,x,y
0,5,8.174310719979392e-09,6.1071705e-07
0,5,9.198310719978859e-09,6.1071705e-07
0,5,1e-08,6.1071705e-07
0,5,1.000000999999999e-08,5.1437728e-05
0,5,1.000002999999997e-08,7.685123e-05
0,5,1.00000999999999e-08,7.685123e-05
0,5,1.0000103999999896e-08,2.6024223e-05
0,5,1.0000111999999889e-08,6.1071705e-07
0,5,1.0009499999998504e-08,6.1071705e-07
0,5,1.0010000000000002e-08,6.1071705e-07
0,7,0.0,6.12105e-07
0,7,1.0063107199787383e-09,6.12105e-07
0,7,2.030310719978806e-09,6.12105e-07
0,7,3.0543107199786967e-09,6.12105e-07
0,7,4.078310719978734e-09,6.12105e-07
0,7,5.102310719979048e-09,6.12105e-07
0,7,6.126310719979362e-09,6.12105e-07
0,7,7.150310719979676e-09,6.12105e-07
0,7,8.174310719979392e-09,6.12105e-07
0,7,9.198310719978859e-09,6.12105e-07
0,7,1e-08,6.12105e-07
0,7,1.000000999999999e-08,7.1894625e-05
0,7,1.000002999999997e-08,0.00010753588
0,7,1.00000999999999e-08,0.00010753588
0,7,1.0000103999999896e-08,3.6253365e-05
0,7,1.0000111999999889e-08,6.12105e-07
0,7,1.0009499999998504e-08,6.12105e-07
0,7,1.0010000000000002e-08,6.12105e-07
0,9,0.0,6.128788e-07
0,9,1.0063107199787383e-09,6.128788e-07
0,9,2.030310719978806e-09,6.128788e-07
0,9,3.0543107199786967e-09,6.128788e-07
0,9,4.078310719978734e-09,6.128788e-07
0,9,5.102310719979048e-09,6.128788e-07
0,9,6.126310719979362e-09,6.128788e-07
0,9,7.150310719979676e-09,6.128788e-07
0,9,8.174310719979392e-09,6.128788e-07
0,9,9.198310719978859e-09,6.128788e-07
0,9,1e-08,6.128788e-07
0,9,1.000000999999999e-08,9.233008e-05
0,9,1.000002999999997e-08,0.00013818868
0,9,1.00000999999999e-08,0.00013818868
0,9,1.0000103999999896e-08,4.647148e-05
0,9,1.0000111999999889e-08,6.128788e-07
0,9,1.0009499999998504e-08,6.128788e-07
0,9,1.0010000000000002e-08,6.128788e-07
0,11,0.0,6.1337226e-07
0,11,1.0063107199787383e-09,6.1337226e-07
0,11,2.030310719978806e-09,6.1337226e-07
0,11,3.0543107199786967e-09,6.1337226e-07
0,11,4.078310719978734e-09,6.1337226e-07
0,11,5.102310719979048e-09,6.1337226e-07
0,11,6.126310719979362e-09,6.1337226e-07
0,11,7.150310719979676e-09,6.1337226e-07
0,11,8.174310719979392e-09,6.1337226e-07
0,11,9.198310719978859e-09,6.1337226e-07
0,11,1e-08,6.1337226e-07
